X,Y,neighborhood_id,neighborhood_name,device_serial,device_connectedto,device_address,device_lat,device_long,device_tags,etl_updatedtimestamp,is_current,org1,org2,inside_outside,landmark,ObjectId
-7917518.63263821,5199476.66831794,N_568579452955538316,Hyde Park,Q2CK-NERF-4JX7,HP-BPDE18-AP2,"1249 Hyde Park Ave., Hyde Park, MA",42.25648,-71.12428, recently-added ,2021/06/28 07:56:19+00,1,,,,,1
-13591946.3780132,4497545.18967124,N_601230550253962257,Columbus Park,Q2CK-LKWC-GD4B,COLUMBUSPARK-AP1,,37.4180951010362,-122.098531723022, recently-added ,2021/06/28 07:56:31+00,1,,,,,2
0,0,N_601230550253962397,Main Streets Staging,Q2CK-F8JM-ME8S,,,0,0, recently-added ,2021/06/28 07:56:33+00,1,,,,,3
-7911233.47255324,5208237.6067325,N_568579452955534204,Dorchester,Q2CK-CXHG-U3Q7,DOT-BPL-AP3,"500 Columbia Rd., Dorchester, MA",42.314702906365,-71.0678194463253, BPL Outside Uphams-Corner-Branch ,2021/06/28 07:56:16+00,1,BPL,,Outside,Uphams Corner Branch,4
-7923997.41123936,5213540.38824702,N_568579452955534204,Dorchester,Q2CK-HPSU-2K3Q,DOT-GREENWOOD-AP2,"189 Glenway Street, Dorchester, MA",42.3499176629195,-71.1824798583984, BPS Greenwood-School Outside ,2021/06/28 07:56:16+00,1,BPS,,Outside,Greenwood School,5
-7910753.23511305,5208798.10501948,N_568579452955534204,Dorchester,Q2CK-H48M-P2E9,DOT-BFD21-AP3,"641 Columbia Rd., Dorchester, MA",42.318426,-71.0635054, BFD Engine-21 Outside ,2021/06/28 07:56:16+00,1,BFD,,Outside,Engine 21,6
-7910263.94142321,5205732.48264666,N_568579452955534204,Dorchester,Q2CK-NE73-ZSQB,DOT-BPDC11-AP1,"40 Gibson st, Dorchester, ma",42.29806,-71.05911, recently-added ,2021/06/28 07:56:16+00,1,,,,,7
-7910753.23511305,5208798.10501948,N_568579452955534204,Dorchester,Q2CK-ZRF5-JNQU,DOT-BFD21-AP1,"641 Columbia Rd., Dorchester, MA",42.318426,-71.0635054, BFD Engine-21 Outside ,2021/06/28 07:56:16+00,1,BFD,,Outside,Engine 21,8
-7911214.60987459,5208244.69630194,N_568579452955534204,Dorchester,Q2CK-J2D4-6Y8J,DOT-BPL-AP6,"500 Columbia road, Dorchester, ma",42.31475,-71.06765, BPL Outside Uphams-Corner-Branch ,2021/06/28 07:56:16+00,1,BPL,,Outside,Uphams Corner Branch,9
-7911347.08006863,5207976.73525247,N_568579452955534204,Dorchester,Q2CK-FQLH-FDJH,DOT-BPL-AP5,"63 Glendale St, Dorchester, MA",42.31297,-71.06884, BPL Outside Uphams-Corner-Branch ,2021/06/28 07:56:16+00,1,BPL,,Outside,Uphams Corner Branch,10
-7911607.07759896,5206605.34951248,N_568579452955534204,Dorchester,Q2CK-N5NK-M8VH,DOT-MATHER-AP2,"1 Meeting House Hill, Dorchester",42.303859430364,-71.0711755975533, recently-added ,2021/06/28 07:56:16+00,1,,,,,11
-7907047.79879927,5210826.36055483,N_568579452955537848,South Boston,Q2CK-LL7D-DRFS,SB-PERRY-AP2,"745 East 7th St., South Boston, MA",42.3318967879207,-71.03021889925, BPS Outside Perry-School ,2021/06/28 07:56:17+00,1,BPS,,Outside,Perry School,12
-7907043.46855457,5210864.49008586,N_568579452955537848,South Boston,Q2CK-L6R4-HJGB,SB-PERRY-AP1,"745 E 7th St, South Boston, MA 02127",42.33215,-71.03018, recently-added ,2021/06/28 07:56:17+00,1,,,,,13
-7909583.77933447,5210397.69216827,N_568579452955537848,South Boston,Q2CK-LEG8-FAFN,SB-HIGHSCHOOL-AP2,"95 G St., South Boston, MA",42.32905,-71.053, recently-added ,2021/06/28 07:56:17+00,1,,,,,14
-7906471.83384786,5210981.16606463,N_568579452955537848,South Boston,Q2CK-NLQZ-E2SP,SB-PERRY-AP3,"745 E 7th St, South Boston, MA 02127",42.332924820066,-71.0250449180603, BPS Outside Perry-School ,2021/06/28 07:56:17+00,1,BPS,,Outside,Perry School,15
-7908656.8579611,5210941.67857639,N_568579452955537848,South Boston,Q2CK-D4R6-5UWB,SB-HIGHSCHOOL-AP3,"95 G St., South Boston, MA",42.332662593223,-71.0446733236313, Outside South-Boston-High-School ,2021/06/28 07:56:17+00,1,,,Outside,South Boston High School,16
-7908689.70199669,5210969.59600665,N_568579452955537848,South Boston,Q2CK-LQCX-HR7J,SB-HIGHSCHOOL-AP1,95 G Street,42.3328479862272,-71.0449683666229, recently-added ,2021/06/28 07:56:17+00,1,,,,,17
-7910480.64707594,5218088.01863919,N_568579452955538062,Charlestown,Q2CK-SRA2-LVQC,CHL-BCYF- AP1,"240 Medford St, Charlestown, MA 02129",42.3801019,-71.0610567, BCYF BCYF-Grant Charlestown-Athletic-Building Outside ,2021/06/28 07:56:18+00,1,BCYF,,Outside,Charlestown Athletic Building,18
-7911233.1739711,5208255.22307887,N_568579452955534204,Dorchester,Q2CK-CRWS-U8UK,DOT-BPL-AP1,"500 Columbia Rd., Dorchester, MA",42.3148199257881,-71.0678167641163, BPL Outside Uphams-Corner-Branch ,2021/06/28 07:56:16+00,1,BPL,,Outside,Uphams Corner Branch,19
-7910558.93807382,5206174.96926249,N_568579452955534204,Dorchester,Q2CK-L5SX-NBNQ,DOT-CLEVELAND-AP1,"11 Charles St, Dorchester",42.301,-71.06176, recently-added ,2021/06/28 07:56:16+00,1,,,,,20
-7912128.17394096,5205493.00236287,N_568579452955534204,Dorchester,Q2CK-9ECJ-KEVB,DOT-HOLMES-AP2,"40 School St, Dorchester",42.296468771381,-71.0758566856384, BPS Holmes-Elementary-School Outside ,2021/06/28 07:56:16+00,1,BPS,,Outside,Holmes Elementary School,21
-7912069.35325904,5205510.40410332,N_568579452955534204,Dorchester,Q2CK-H64X-BT93,DOT-HOLMES-AP1,"40 School St., Dorchester, MA",42.2965843987362,-71.0753282904625, BPS Holmes-Elementary-School Outside ,2021/06/28 07:56:16+00,1,BPS,,Outside,Holmes Elementary School,22
-7911567.60397989,5205967.47959864,N_568579452955534204,Dorchester,Q2CK-649C-9H26,DOT-MARSHALL-AP1,"35 Westville St., Dorchester, MA",42.2996214,-71.070821, BPS Marshall-School Outside UP-Academy ,2021/06/28 07:56:16+00,1,BPS,,Outside,Marshall School UP Academy,23
-7911877.49517836,5206929.8178402,N_568579452955534204,Dorchester,Q2CK-ERFW-VHQX,DOT-HOLLAND-AP2,"85 Olney St., Dorchester, MA",42.3060151,-71.0736048, BCYF Holland-Comm-Center Outside ,2021/06/28 07:56:16+00,1,BCYF,,Outside,Holland Comm Center,24
-7911203.9129212,5208271.64509665,N_568579452955534204,Dorchester,Q2CK-CVPA-TEUV,DOT-BPL-AP2,"500 Columbia Rd., Dorchester, MA",42.3149290114949,-71.0675539076328, BPL Outside Uphams-Corner-Branch ,2021/06/28 07:56:16+00,1,BPL,,Outside,Uphams Corner Branch,25
-7911214.60987459,5208244.69630194,N_568579452955534204,Dorchester,Q2CK-U4G7-7P78,DOT-BPL-AP4,"500 Columbia Rd., Dorchester, MA",42.31475,-71.06765, BPL Outside Uphams-Corner-Branch recently-added ,2021/06/28 07:56:16+00,1,BPL,,Outside,Uphams Corner Branch,26
-7910753.23511305,5208798.10501948,N_568579452955534204,Dorchester,Q2CK-G9M2-VTK4,DOT-BFD21-AP2,"641 Columbia Rd., Dorchester, MA",42.318426,-71.0635054, BFD Engine-21 Outside ,2021/06/28 07:56:16+00,1,BFD,,Outside,Engine 21,27
-7910474.33526081,5207242.13933114,N_568579452955534204,Dorchester,Q2CK-NJQU-RB55,DOT-MATHER-AP3,"24 Parrish St, Dorchester",42.30809,-71.061, recently-added ,2021/06/28 07:56:16+00,1,,,,,28
-7912662.55362329,5205512.25542662,N_568579452955534204,Dorchester,Q2CK-HALC-MWBH,DOT-GREENWOOD-AP1,"189 Glenway St., Dorchester, MA",42.2965967,-71.0806571, BPS Greenwood-School Outside ,2021/06/28 07:56:16+00,1,BPS,,Outside,Greenwood School,29
-7910480.64707594,5218088.01863919,N_568579452955538062,Charlestown,Q2CK-V3LS-5V65,CHL-BCYF-AP2,"240 Medford St, Charlestown, MA 02129",42.3801019,-71.0610567, BCYF BCYF-Grant Charlestown-Athletic-Building Outside ,2021/06/28 07:56:18+00,1,BCYF,,Outside,Charlestown Athletic Building,30
